,target,SMS,target_num,SMS_clean,SMS_encoded,len_SMS
10,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,m home soon want talk stuff anymore tonight k ve cry today,"[2, 26, 112, 15, 115, 154, 858, 114, 98, 67, 948, 25]",12
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandc apply reply hl 4 info,"[183, 33, 90, 466, 2368, 278, 24, 2369, 13, 1466, 189, 2370, 2371, 131, 2372, 234, 29, 1080, 7, 716]",20
12,spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,urgent win 1 week free membership å100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,"[109, 33, 79, 39, 12, 1780, 2373, 69, 2374, 24, 122, 49, 2375, 342, 2376, 2377, 467, 2378]",18
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,ve search right word thank breather promise help grant fulfil promise wonderful blessing time,"[67, 359, 70, 122, 65, 3627, 565, 119, 3628, 3629, 565, 468, 1259, 18]",14
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,date sunday,"[195, 859]",2
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,xxxmobilemovieclub use credit click wap link txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,"[3630, 160, 291, 949, 717, 671, 24, 61, 949, 3631, 3632]",11
16,ham,Oh k...i'm watching here:),0,oh kim watch,"[53, 3633, 103]",3
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,eh u remember 2 spell yes v naughty v wet,"[615, 1, 228, 3, 1467, 75, 132, 1081, 132, 1260]",10
18,ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,0,fine thatåõs way u feel thatåõs way gota b,"[155, 1468, 66, 1, 64, 1468, 66, 3634, 108]",9
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",1,england v macedonia   miss goalsteam news txt ur national team 87077 eg england 87077 trywale scotland 4txtì¼120 poboxox36504w45wq 16,"[718, 132, 3635, 44, 3636, 450, 24, 4, 616, 950, 860, 617, 718, 860, 3637, 1781, 3638, 3639, 131]",19
20,ham,Is that seriously how you spell his name?,0,seriously spell,"[775, 1467]",2
21,ham,IÛ÷m going to try for 2 months ha ha only joking,0,iûm try 2 month ha ha joke,"[1261, 48, 3, 171, 469, 469, 464]",7
22,ham,So Ì_ pay first lar... Then when is da stock comin...,0,ì pay lar da stock comin,"[45, 147, 194, 43, 1082, 672]",6
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,aft finish lunch str lor ard 3 smth lor u finish ur lunch,"[409, 105, 161, 1469, 27, 372, 94, 470, 27, 1, 105, 4, 161]",13
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,ffffffffff alright way meet soon,"[3640, 343, 66, 56, 112]",5
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,force eat slice m hungry tho suck mark worry know m sick turn pizza lol,"[1470, 130, 1782, 2, 537, 451, 951, 776, 219, 8, 2, 777, 566, 861, 95]",15
26,ham,Lol your always so convincing.,0,lol convincing,"[95, 3641]",2
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,catch bus   fry egg   tea eat mom leave dinner   feel love,"[471, 255, 1471, 1083, 1084, 130, 373, 54, 220, 64, 19]",11
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,m amp pack car ill let know s room,"[2, 80, 1085, 165, 17, 72, 8, 6, 192]",9
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,ahhh work vaguely remember feel like lol,"[3642, 38, 3643, 228, 64, 14, 95]",7
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,wait s clear sure sarcastic s x want live,"[50, 6, 778, 99, 2379, 6, 136, 15, 129]",9
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,yeah 2 v apologetic n fall actin like spoil child got catch till 2 badly cheer,"[76, 3, 132, 3644, 35, 500, 3645, 14, 1472, 719, 344, 471, 327, 3, 3646, 618]",16
32,ham,K tell me anything about you.,0,k tell,"[98, 21]",2
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,fear faint housework quick cuppa,"[1783, 3647, 3648, 862, 3649]",5
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,thank subscription ringtone uk mobile charge å5month confirm reply yes reply charge,"[65, 1262, 256, 472, 34, 207, 3650, 567, 29, 75, 29, 207]",12
35,ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,yup ok home look timing msg ì xuhui learn 2nd lesson 8,"[172, 10, 26, 97, 1263, 82, 45, 1784, 863, 265, 299, 374]",12
36,ham,"Oops, I'll let you know when my roommate's done",0,oop ill let know roommate,"[952, 17, 72, 8, 864]",5
37,ham,I see the letter B on my car,0,letter b car,"[865, 108, 165]",3
38,ham,Anything lor... U decide...,0,lor u decide,"[27, 1, 292]",3
39,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,hello s saturday texte d decide tomo m try invite,"[146, 6, 473, 779, 30, 292, 452, 2, 48, 360]",10
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,pls ahead watts want sure great weekend abiola,"[59, 953, 3651, 15, 99, 52, 190, 673]",8
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,forget tell   want   need crave     love sweet arabian steed   mmmmmm   yummy,"[173, 21, 15, 23, 619, 19, 208, 3652, 3653, 2380, 1785]",11
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,07732584351   rodger burn   msg   try reply sms free nokia mobile   free camcorder 08000930705 delivery tomorrow,"[3654, 3655, 1086, 82, 48, 29, 361, 12, 104, 34, 12, 501, 474, 362, 74]",15
44,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,great hope like man endowed   ltgt   inch,"[52, 46, 14, 127, 3656, 11, 1087]",7
45,ham,No calls..messages..missed calls,0,callsmessagesmisse,[1786],1
46,ham,Didn't you get hep b immunisation in nigeria.,0,hep b immunisation nigeria,"[3657, 108, 3658, 866]",4
47,ham,"Fair enough, anything going on?",0,fair,[1787],1
48,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,yeah hopefully tyler maybe ask bit,"[76, 1264, 1088, 257, 42, 156]",6
49,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,u know stubborn want hospital tell mark m weak sucker hospital weak sucker,"[1, 8, 3659, 15, 620, 21, 776, 2, 1265, 2381, 620, 1265, 2381]",13
50,ham,What you thinked about me. First time you saw me in class.,0,think time class,"[22, 18, 151]",3
51,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,gram usually run like   ltgt   half eighth smart second gram   ltgt,"[1473, 1089, 201, 14, 11, 196, 2382, 1474, 375, 1473, 11]",11
52,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,k fyi x ride early tomorrow morning s crash place tonight,"[98, 1090, 136, 1091, 150, 74, 86, 6, 1475, 110, 114]",11
53,ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0,wow realize embarassed accomodation think like good happy cave m sorry m sorry offer m sorry room embarasse,"[621, 954, 2383, 3660, 22, 14, 9, 60, 3661, 2, 31, 2, 31, 152, 2, 31, 192, 1788]",18
54,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,"[392, 1476, 2384, 37, 3662, 3663, 2385, 1266, 3664, 153, 867, 2386, 622, 3665, 106, 29, 106, 2384]",18
55,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,know mallika sherawat yesterday find    lturlgt,"[8, 3666, 3667, 345, 71, 1789]",6
56,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,congrat 1 year special cinema pass 2 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm miss,"[502, 79, 91, 162, 868, 475, 3, 1790, 85, 1791, 132, 1792, 1793, 568, 7, 12, 1794, 1092, 44]",19
57,ham,"Sorry, I'll call later in meeting.",0,sorry ill later meeting,"[31, 17, 40, 363]",4
58,ham,Tell where you reached,0,tell reach,"[21, 141]",2
59,ham,Yes..gauti and sehwag out of odi series.,0,yesgauti sehwag odi series,"[3668, 3669, 2387, 1477]",4
60,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,pick 1 burger way home pain kill,"[73, 79, 1795, 66, 26, 300, 955]",7
61,ham,Ha ha ha good joke. Girls are situation seekers.,0,ha ha ha good joke girl situation seeker,"[469, 469, 469, 9, 464, 142, 720, 3670]",8
62,ham,Its a part of checking IQ,0,check iq,"[128, 1478]",2
63,ham,"Sorry my roommates took forever, it ok if I come by now?",0,sorry roommate forever ok come,"[31, 864, 721, 10, 5]",5
64,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,ok lar double check wif da hair dresser wun cut v short cut look nice,"[10, 194, 346, 128, 289, 43, 328, 1796, 956, 476, 132, 569, 476, 97, 120]",15
65,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1,value customer pleased advise follow recent review mob award å1500 bonus prize 09066364589,"[449, 116, 1093, 1479, 538, 1797, 1094, 312, 107, 1480, 376, 69, 2388]",13
66,ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0,today song dedicated day song u dedicate send ur valuable frnd rply,"[25, 477, 2389, 16, 477, 1, 2390, 13, 4, 1481, 266, 722]",12
67,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,urgent ur award complimentary trip eurodisinc trav acoentry41 å1000 claim txt dis 87121 186å150morefrmmob shracomorsglsuplt10 ls1 3aj,"[109, 4, 107, 623, 347, 2391, 2392, 2393, 221, 49, 24, 267, 1463, 2394, 2395, 2396, 2397]",17
68,spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",1,hear new divorce barbie come kens stuff,"[174, 37, 2398, 3671, 5, 3672, 154]",7
69,ham,I plane to give on this month end.,0,plane month end,"[1267, 171, 106]",3
70,ham,Wah lucky man... Then can save money... Hee...,0,wah lucky man save money hee,"[1482, 453, 127, 503, 121, 570]",6
71,ham,Finished class where are you.,0,finish class,"[105, 151]",2
72,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,hi babe m home wanna xx,"[41, 81, 2, 26, 197, 624]",6
73,ham,K..k:)where are you?how did you performed?,0,kkwhere youhow perform,"[2399, 3673, 2400]",3
74,ham,U can call me now...,0,u,[1],1
75,ham,I am waiting machan. Call me once you free.,0,wait machan free,"[50, 1483, 12]",3
76,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,s cool gentleman treat dignity respect,"[6, 179, 1798, 408, 1799, 1800]",6
77,ham,I like you peoples very much:) but am very shy pa.,0,like people shy pa,"[14, 137, 2401, 245]",4
78,ham,Does not operate after  &lt;#&gt;  or what,0,operate   ltgt  ,"[3674, 11]",2
79,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,look job ta earn,"[97, 163, 1268, 1801]",4
80,ham,"Sorry, I'll call later",0,sorry ill later,"[31, 17, 40]",3
81,ham,K. Did you call me just now ah? ,0,k ah,"[98, 268]",2
82,ham,Ok i am on the way to home hi hi,0,ok way home hi hi,"[10, 66, 26, 41, 41]",5
83,ham,You will be in the place of that man,0,place man,"[110, 127]",2
84,ham,Yup next stop.,0,yup stop,"[172, 28]",2
85,ham,"I call you later, don't have network. If urgnt, sms me.",0,later network urgnt sm,"[40, 244, 1269, 392]",4
86,ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,real u yo need 2 ticket jacket m multis,"[209, 1, 202, 23, 3, 478, 2402, 2, 3675]",9
87,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,yes start send request pain come m bed double coin factory cash nitro,"[75, 101, 13, 669, 300, 5, 2, 246, 346, 1095, 3676, 90, 2403]",13
88,ham,I'm really not up to it still tonight babe,0,m tonight babe,"[2, 114, 81]",3
89,ham,"Ela kano.,il download, come wen ur free..",0,ela kanoil download come wen ur free,"[2404, 3677, 426, 5, 313, 4, 12]",7
90,ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,0,yeah donût stand close tho youûll catch,"[76, 1096, 674, 301, 451, 3678, 471]",7
91,ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,sorry pain ok meet night spend late afternoon casualty mean y stuff42moro include time sheet sorry,"[31, 300, 10, 56, 47, 364, 68, 279, 3679, 117, 148, 3680, 957, 18, 1484, 31]",16
92,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,smile pleasure smile pain smile trouble pour like rain smile sum1 hurt u smile becoz love u smile,"[100, 869, 100, 300, 100, 870, 1802, 14, 504, 100, 1803, 236, 1, 100, 1485, 19, 1, 100]",18
93,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,customer service representative 0800 169 6031 10am9pm win guarantee å1000 cash å5000 prize,"[116, 88, 723, 571, 2405, 2406, 2407, 33, 138, 221, 90, 393, 69]",13
94,ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,plan buy later check lido 530 e afternoon u finish work,"[123, 87, 40, 128, 1804, 958, 78, 279, 1, 105, 38]",11
95,spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML PO Box 5249 MK17 92H. 450Ppw 16""",1,free ringtone wait collect simply text password mix 85069 verify usher britney fml po box 5249 mk17 92h 450ppw 16,"[12, 256, 50, 237, 1097, 20, 959, 1805, 2408, 1098, 2409, 2410, 1486, 222, 198, 2411, 2412, 2413, 2414, 131]",20
96,ham,Watching telugu movie..wat abt u?,0,watch telugu moviewat abt u,"[103, 3681, 3682, 302, 1]",5
97,ham,i see. When we finish we have loads of loans to pay,0,finish load loan pay,"[105, 625, 675, 147]",4
98,ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",0,hi wk ok   hol yes bit run forgot hairdresser appointment need home n shower cause prob uham,"[41, 329, 10, 1099, 75, 156, 201, 724, 3683, 1270, 23, 26, 35, 572, 377, 427, 3684]",17
99,ham,Please don't text me anymore. I have nothing else to say.,0,text anymore,"[20, 858]",2
100,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,okay ur price long legal wen pick y u ave x ams xx,"[303, 4, 314, 143, 1487, 313, 73, 148, 1, 871, 136, 3685, 624]",13
101,ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,m look car buy 4the drive test,"[2, 97, 165, 87, 3686, 184, 304]",7
102,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,"[669, 1079, 1079, 1465, 1777, 1778, 1779, 358, 713, 425, 714, 235, 670, 63, 713]",15
103,ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,wow right mean guess boston man change search location nyc change cuz signin page boston,"[621, 70, 117, 180, 1271, 127, 238, 359, 960, 1488, 238, 961, 3687, 676, 1271]",15
104,ham,Umma my life and vava umma love you lot dear,0,umma life vava umma love lot dear,"[962, 83, 1806, 962, 19, 133, 57]",7
105,ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,thank lot wish birthday thank birthday truly memorable,"[65, 133, 102, 210, 65, 210, 1272, 3688]",8
106,ham,"Aight, I'll hit you up when I get some cash",0,aight ill hit cash,"[239, 17, 505, 90]",4
107,ham,How would my ip address test that considering my computer isn't a minecraft server,0,ip address test consider computer minecraft server,"[3689, 378, 304, 1100, 573, 3690, 3691]",7
108,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,know grumpy old people mom like lie play joke,"[8, 3692, 394, 137, 373, 14, 963, 153, 464]",9
109,ham,Dont worry. I guess he's busy.,0,worry guess s busy,"[219, 180, 6, 410]",4
110,ham,What is the plural of the noun research?,0,plural noun research,"[3693, 2415, 1489]",3
111,ham,Going for dinner.msg you after.,0,dinnermsg,[3694],1
112,ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,m ok wif cos like 2 try new thing scare u dun like mah cos u loud,"[2, 10, 289, 89, 14, 3, 48, 37, 51, 1490, 1, 125, 14, 574, 89, 1, 1807]",17
113,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,gent try contact weekend draw win å1000 prize guarantee 09064012160 claim code k52 valid 12hrs 150ppm,"[2416, 48, 92, 190, 166, 33, 221, 69, 138, 2417, 49, 264, 1808, 341, 454, 229]",16
114,ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,wa ur openin sentence formal m fine juz tt m eatin n puttin weighthaha anythin special happen,"[1809, 4, 3695, 1810, 3696, 2, 155, 315, 1491, 2, 964, 35, 2418, 3697, 1811, 162, 144]",17
115,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,enter cabin pa   happy bday boss   feel special askd 4 lunch lunch invite apartment,"[316, 1273, 245, 60, 506, 780, 64, 162, 626, 7, 161, 161, 360, 872]",14
116,spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,winner u specially select 2 receive å1000 4 holiday flight inc speak live operator 2 claim 0871277810910pmin 18,"[465, 1, 781, 254, 3, 158, 221, 7, 167, 782, 873, 159, 129, 507, 3, 49, 3698, 175]",18
117,ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0,goodo yes speak friday   eggpotato ratio tortilla need,"[2419, 75, 159, 508, 3699, 3700, 2420, 23]",8
118,ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,hmmmy uncle inform s pay school directly pls buy food,"[3701, 479, 874, 6, 147, 272, 1101, 59, 87, 348]",10
119,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,private 2004 account statement 07742676969 786 unredeemed bonus point claim 08719180248 identifier code 45239 expire,"[411, 875, 176, 428, 2421, 1492, 480, 376, 233, 49, 2422, 509, 264, 1812, 429]",15
120,spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,urgent mobile award å2000 bonus caller prize 5903 final try contact u landline 09064019788 box42wr29c 150ppm,"[109, 34, 107, 258, 376, 425, 69, 3702, 424, 48, 92, 1, 211, 3703, 3704, 229]",16
121,ham,here is my new address -apples&pairs&all that malarky,0,new address applespairsall malarky,"[37, 378, 3705, 3706]",4
122,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,today voda number end 7548 select receive 350 award match 08712300220 quote claim code 4041 standard rate app,"[25, 1274, 62, 106, 3707, 254, 158, 2423, 107, 395, 1102, 725, 49, 264, 3708, 1103, 247, 783]",18
123,ham,I am going to sao mu today. Will be done only at 12 ,0,sao mu today 12,"[3709, 539, 25, 536]",4
124,ham,ÌÏ predict wat time Ì_'ll finish buying?,0,ìï predict wat time ìll finish buy,"[134, 2424, 58, 18, 2425, 105, 87]",7
125,ham,"Good stuff, will do.",0,good stuff,"[9, 154]",2
126,ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,knowyetunde send money send text bother send involve impose place apologise,"[3710, 13, 121, 13, 20, 876, 13, 2426, 3711, 110, 1813]",11
127,ham,Are you there in room.,0,room,[192],1
128,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,hey girl r u hope u r del r bak long time c sum time lucyxx,"[55, 142, 32, 1, 46, 1, 32, 726, 32, 877, 143, 18, 85, 2427, 18, 3712]",16
129,ham,K..k:)how much does it cost?,0,kkhow cost,"[1493, 189]",2
130,ham,I'm home.,0,m home,"[2, 26]",2
131,ham,"Dear, will call Tmorrow.pls accomodate.",0,dear tmorrowpls accomodate,"[57, 3713, 3714]",3
132,ham,First answer my question.,0,answer question,"[248, 230]",2
133,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,1,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 å150 sptyrone,"[784, 540, 535, 1104, 33, 785, 878, 379, 1, 8, 965, 2428, 24, 1494, 1275, 290, 1495]",17
134,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,want 2 lay tonight want real dog location send direct 2 ur mob join uks large dog network bt txte gravel 69888 ec2a 31pmsg150p,"[15, 3, 879, 114, 15, 209, 430, 960, 13, 627, 3, 4, 312, 223, 727, 1276, 430, 244, 305, 786, 3715, 2429, 1496, 2430]",24
135,ham,I only haf msn. It's yijue@hotmail.com,0,haf msn yijuehotmailcom,"[349, 2431, 3716]",3
136,ham,He is there. You call and meet him,0,meet,[56],1
137,ham,No no. I will check all rooms befor activities,0,check room befor activity,"[128, 192, 1497, 1498]",4
138,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,ll rcv msgs chat svc free hardcore service text 69988 u u age verify yr network   try,"[317, 2363, 575, 118, 3717, 12, 1814, 88, 20, 3718, 1, 1, 431, 1098, 541, 244, 48]",17
139,ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,0,c lazy type forget ì lect pouch like v nice,"[85, 787, 481, 173, 45, 788, 2432, 14, 132, 120]",10
140,ham,"K, text me when you're on the way",0,k text way,"[98, 20, 66]",3
141,ham,"Sir, Waiting for your mail.",0,sir wait mail,"[224, 50, 293]",3
142,ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",0,swt think nver tired little thing 4 lovable person cozsomtime little thing occupy d big heart gud ni8,"[2433, 22, 3719, 628, 269, 51, 7, 728, 139, 3720, 269, 51, 1815, 30, 168, 169, 111, 542]",18
143,ham,I know you are. Can you pls open the back?,0,know pls open,"[8, 59, 412]",3
144,ham,Yes see ya not on the dot,0,yes ya dot,"[75, 124, 1816]",3
145,ham,Whats the staff name who is taking class for us?,0,s staff class,"[6, 2434, 151]",3
